Caterpillar_ID,Treatment,Aphid_Presence,Aphid_Count,Time_to_Pupation (days),Chrysalis_Weight (grams),Survival,Days_Survived
1, Control, No,0,10,0.7, No,6
2, Control, No,0,11,0.6, No,7
3, Control, No,0,12,0.8, Yes,12
4, Control, No,0,9,0.9, No,4
5, Control, No,0,11,0.7, Yes,11
6, Control, No,0,10,0.8, Yes,10
7, Control, No,0,12,0.6, No,5
8, Control, No,0,9,0.7, No,3
9, Control, No,0,10,0.9, Yes,10
10, Control, No,0,11,0.8, No,8
11, Aphid Only, Yes,1500,14,0.6, Yes,14
12, Aphid Only, Yes,1200,15,0.5, Yes,15
13, Aphid Only, Yes,1800,16,0.7, Yes,16
14, Aphid Only, Yes,1000,13,0.4, No,5
15, Aphid Only, Yes,1400,15,0.6, Yes,15
16, Aphid and Honeydew, Yes,800,13,0.7, Yes,13
17, Aphid and Honeydew, Yes,1000,14,0.6, No,6
18, Aphid and Honeydew, Yes,1200,12,0.7, Yes,12
19, Aphid and Honeydew, Yes,900,15,0.8, Yes,15
20, Aphid and Honeydew, Yes,1100,14,0.4, No,7
21, Honeydew Only, No,0,10,0.7, Yes,10
22, Honeydew Only, No,0,12,0.8, Yes,12
23, Honeydew Only, No,0,11,0.5, Yes,11
24, Honeydew Only, No,0,13,0.4, No,6
25, Honeydew Only, No,0,12,0.9, Yes,12
26, Honeydew Only, No,0,11,0.6, No,4
27, Honeydew Only, No,0,10,0.8, Yes,10
28, Honeydew Only, No,0,14,0.7, Yes,14
29, Honeydew Only, No,0,13,0.5, Yes,13
30, Honeydew Only, No,0,12,0.8, No,7
31, Control, No,0,10,0.7, No,5
32, Control, No,0,11,0.8, No,6
33, Control, No,0,12,0.9, Yes,12
34, Control, No,0,9,0.6, No,3
35, Control, No,0,11,0.7, Yes,11
36, Control, No,0,10,0.6, Yes,10
37, Control, No,0,12,0.7, No,5
38, Control, No,0,9,0.8, No,4
39, Control, No,0,10,0.9, Yes,10
40, Control, No,0,11,0.8, No,8
41, Aphid Only, Yes,1500,14,0.5, Yes,14
42, Aphid Only, Yes,1200,15,0.4, Yes,15
43, Aphid Only, Yes,1800,16,0.6, Yes,16
44, Aphid Only, Yes,1000,13,0.3, No,5
45, Aphid Only, Yes,1400,15,0.5, Yes,15
46, Aphid and Honeydew, Yes,800,13,0.6, Yes,13
47, Aphid and Honeydew, Yes,1000,14,0.5, No,6
48, Aphid and Honeydew, Yes,1200,12,0.6, Yes,12
49, Aphid and Honeydew, Yes,900,15,0.7, Yes,15
50, Aphid and Honeydew, Yes,1100,14,0.3, No,7
51, Honeydew Only, No,0,10,0.7, Yes,10
52, Honeydew Only, No,0,12,0.8, Yes,12
53, Honeydew Only, No,0,11,0.6, Yes,11
54, Honeydew Only, No,0,13,0.5, Yes,13
55, Honeydew Only, No,0,12,0.7, Yes,12
56, Honeydew Only, No,0,11,0.8, Yes,11
57, Honeydew Only, No,0,10,0.5, Yes,10
58, Honeydew Only, No,0,14,0.6, Yes,14
59, Honeydew Only, No,0,13,0.4, Yes,13
60, Honeydew Only, No,0,12,0.7, Yes,12
